source_id,tier,method,url,program_names,selector,render_js,last_success,consecutive_failures,last_attempt,signal,notes
simplex-greenhouse,2,greenhouse,simplextrading,Simplex Trading,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,medium,Verified 2026-09-11 by firm sweep against external firm lists: 5 jobs.
squarepoint-greenhouse,2,greenhouse,squarepointcapital,Squarepoint Capital,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,high,Verified 2026-09-11 by firm sweep against external firm lists: 93 jobs.
towerresearch-greenhouse,2,greenhouse,towerresearchcapital,Tower Research Capital,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,high,"Verified 2026-09-11 by firm sweep against external firm lists: 86 jobs. Richer than the tower-careers page watcher, which is kept as a second signal."
transmarketgroup-greenhouse,2,greenhouse,transmarketgroup,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"TransMarket Group. Verified 2026-09-11: 19 postings, 4 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
vaticlabs-greenhouse,2,greenhouse,vaticlabs,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Vatic Labs. Verified 2026-09-11: 9 postings, 0 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
virtu-greenhouse,2,greenhouse,virtu,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Virtu Financial. Verified 2026-09-11: 50 postings, 6 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
voloridge-greenhouse,2,greenhouse,voloridgeinvestmentmanagement,Voloridge / Ascend Program,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,high,"Verified 2026-09-11: 8 jobs, 4 US student rows including ASCEND PROGRAM 2027 - one of the very few programmes whose stated eligibility is 'first and second-year undergraduate students', so it is open to class of 2030 now. Two bugs had to be fixed before this row worked: 'Ascend Program 2027' contains no 'intern' and was only caught once the title screen learned Summer-Analyst/year vocabulary, and its location reads 'Jupiter, Florida' while the rest of the board reads 'Jupiter, FL', so the US filter dropped exactly this posting until it learned spelled-out state names."
walleyecapital-external-students-greenhouse,2,greenhouse,walleyecapital-external-students,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Walleye Capital. Verified 2026-09-11: 3 postings, 2 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
winton-greenhouse,2,greenhouse,winton,Winton,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,medium,Verified 2026-09-11 by firm sweep against external firm lists: 10 jobs.
worldquant-greenhouse,2,greenhouse,worldquant,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"WorldQuant. Verified 2026-09-11: 103 postings, 0 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
belvederetrading-lever,2,lever,belvederetrading,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Belvedere Trading. Verified 2026-09-11: 14 postings, 3 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
valkyrietrading-lever,2,lever,valkyrietrading,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Valkyrie Trading. Verified 2026-09-11: 6 postings, 0 US student rows after the title/Employment-Type and US-location filters. program_names is deliberately empty: one board is not one tracked program."
kaggle-competitions,2,manual,https://www.kaggle.com/api/v1/competitions/list,Kaggle Competitions (all active),,false,,0,,low,"MANUAL. Kaggle competitions are always-open and rolling, so a daily diff is noise rather than news; calendar_reminders.ALWAYS already covers them. Dropped from Phase 2 deliberately."
sig-phenom,2,phenom,https://careers.sig.com/api/jobs,Susquehanna (SIG),,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,high,"Phenom/iCIMS JSON API. Replaces the sig-careers manual row, which was correct about the page (402KB of HTML yields 221 chars) and wrong about the firm: this endpoint answers state.USER_AGENT with 263 postings. Verified 2026-09-11: 52 US student rows across Interns + Co-ops, New Graduates and Student Discovery Program. The five US Discovery Programs are gated to winter 2028 / spring 2029 graduates, i.e. sophomores for a four-year US degree, so they are correctly ruled out for class of 2030 until the autumn 2027 cycle."
capitalgroup-workday,2,workday,https://capgroup.wd1.myworkdayjobs.com/wday/cxs/capgroup/capitalgroupcareers,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Capital Group. Workday CXS JSON API - the HTML page renders in JavaScript and yields zero text. Verified 2026-09-11: 152 postings on the board, 1 US student rows."
cibc-workday,2,workday,https://cibc.wd3.myworkdayjobs.com/wday/cxs/cibc/campus,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"CIBC. Workday CXS JSON API - the HTML page renders in JavaScript and yields zero text. Verified 2026-09-11: 44 postings on the board, 6 US student rows."
cme-workday,2,workday,https://cmegroup.wd1.myworkdayjobs.com/wday/cxs/cmegroup/cme_careers,CME Group,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,medium,"Verified 2026-09-11: 33 postings, 0 student today. Use the CXS API only - www.cmegroup.com times out for our User-Agent."
dimensional-workday,2,workday,https://dimensional.wd5.myworkdayjobs.com/wday/cxs/dimensional/dfa_careers,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Dimensional Fund Advisors. Workday CXS JSON API - the HTML page renders in JavaScript and yields zero text. Verified 2026-09-11: 72 postings on the board, 7 US student rows."
draftkings-workday,2,workday,https://draftkings.wd1.myworkdayjobs.com/wday/cxs/draftkings/Campus_Career_Portal,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"DraftKings. Workday CXS JSON API - the HTML page renders in JavaScript and yields zero text. Verified 2026-09-11: 7 postings on the board, 6 US student rows."
fanniemae-workday,2,workday,https://fanniemae.wd1.myworkdayjobs.com/wday/cxs/fanniemae/FannieMaeCareers,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Fannie Mae. Workday CXS JSON API - the HTML page renders in JavaScript and yields zero text. Verified 2026-09-11: 61 postings on the board, 6 US student rows."
freddiemac-workday,2,workday,https://freddiemac.wd5.myworkdayjobs.com/wday/cxs/freddiemac/External,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Freddie Mac. Workday CXS JSON API - the HTML page renders in JavaScript and yields zero text. Verified 2026-09-11: 103 postings on the board, 13 US student rows."
kensho-workday,2,workday,https://spgi.wd5.myworkdayjobs.com/wday/cxs/spgi/Kensho_Careers,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Kensho (S&P Global). Workday CXS JSON API - the HTML page renders in JavaScript and yields zero text. Verified 2026-09-11: 9 postings on the board, 0 US student rows."
lpl-workday,2,workday,https://lplfinancial.wd1.myworkdayjobs.com/wday/cxs/lplfinancial/university,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"LPL Financial. Workday CXS JSON API - the HTML page renders in JavaScript and yields zero text. Verified 2026-09-11: 36 postings on the board, 16 US student rows."
mastercard-workday,2,workday,https://mastercard.wd1.myworkdayjobs.com/wday/cxs/mastercard/Campus,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Mastercard. Workday CXS JSON API - the HTML page renders in JavaScript and yields zero text. Verified 2026-09-11: 52 postings on the board, 1 US student rows."
northerntrust-workday,2,workday,https://ntrs.wd1.myworkdayjobs.com/wday/cxs/ntrs/northerntrust,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Northern Trust. Workday CXS JSON API - the HTML page renders in JavaScript and yields zero text. Verified 2026-09-11: 665 postings on the board, 20 US student rows."
peak6-workday,2,workday,https://peak6group.wd1.myworkdayjobs.com/wday/cxs/peak6group/PEAK6,PEAK6,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,high,"Verified 2026-09-11: 14 postings, 3 US student rows (Trading Bootcamp Micro-Internship Summer 2027, Trading Internship for Women+ Summer 2027, Trading Associate 2027). Re-pointed from peak6.com/careers, which returns 3,100 chars of marketing copy with no job data and no outbound job links - a row that could only ever look healthy and quiet."
pimco-workday,2,workday,https://pimco.wd1.myworkdayjobs.com/wday/cxs/pimco/pimco-careers,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"PIMCO. Workday CXS JSON API - the HTML page renders in JavaScript and yields zero text. Verified 2026-09-11: 195 postings on the board, 7 US student rows."
rbc-workday,2,workday,https://rbc.wd3.myworkdayjobs.com/wday/cxs/rbc/RBCEARLYTALENT1,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"RBC Early Talent. Workday CXS JSON API - the HTML page renders in JavaScript and yields zero text. Verified 2026-09-11: 152 postings on the board, 3 US student rows."
troweprice-workday,2,workday,https://troweprice.wd5.myworkdayjobs.com/wday/cxs/troweprice/TRowePrice,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"T. Rowe Price. Workday CXS JSON API - the HTML page renders in JavaScript and yields zero text. Verified 2026-09-11: 136 postings on the board, 8 US student rows."
vanguard-workday,2,workday,https://vanguard.wd5.myworkdayjobs.com/wday/cxs/vanguard/vanguard_external,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Vanguard. Workday CXS JSON API - the HTML page renders in JavaScript and yields zero text. Verified 2026-09-11: 441 postings on the board, 18 US student rows."
wellington-workday,2,workday,https://wellington.wd5.myworkdayjobs.com/wday/cxs/wellington/Campus,,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Wellington Management. Workday CXS JSON API - the HTML page renders in JavaScript and yields zero text. Verified 2026-09-11: 10 postings on the board, 4 US student rows."
citadel-students,3,manual,https://www.citadel.com/careers/students/,Citadel students,,false,,0,,high,"method=manual on purpose. Re-tested 2026-09-11: 403 Forbidden to state.USER_AGENT, HTTP 200 to a spoofed browser User-Agent. The block is deliberate and UA-based, so the only way to automate this page is to lie about who we are - declined. Surfaces as a monthly calendar reminder instead. An earlier note claiming 6,763 chars of text was measured with a browser-presenting fetcher, not with this tool's client."
citadelsecurities-careers,3,manual,https://www.citadelsecurities.com/careers,Citadel Securities,,false,,0,,high,"method=manual on purpose. Sampled 10x on 2026-09-11: HTTP 200 in 5 of 10 fetches, 403 Cloudflare in the other 5, all with state.USER_AGENT. An earlier note here claimed the page was readable at 10,638 chars - that was a single lucky sample, the same error made on citadel.com the same day. An INTERMITTENT block is worse than a hard one: the source would report a failure on roughly half of all runs and escalate into ACT NOW after three, so it must not be automated. Re-sample repeatedly, never once, before moving any Citadel row off manual."
thedeckgame,3,manual,https://thedeckgame.com/,The Deck Game,,true,,0,,high,MANUAL. Verified: JS shell yielding ~28 characters; sitemap has only two URLs. Not worth a Playwright run - there is nothing to diff.
albatross-labs,3,page_text,https://www.albatrosslabs.io/,Albatross Labs,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,medium,"Verified 2026-09-11: 2,390 chars, ratio 0.0055 - above the 0.0015 floor but the thinnest ratio on the watchlist. Advertises Software/Quant Developer at internship level."
aqr-internship-program,3,page_text,https://www.aqr.com/About-Us/Our-Internship-Program,AQR internship programme,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,high,"BROKEN 2026-09-12 and not re-pointable: /About-Us/Our-Internship-Program now 302s to aqr.com/404, and /Careers plus /careers/internships both redirect to the homepage while /Insights/Careers and /About-Us/Careers 404. careers.aqr.com is a JS shell (0 chars of text). It had been reporting success off the 404 page's own prose (4,683 chars at ratio 0.0929) since some point after 2026-09-11, when it last verified at 8,992 chars. The redirect check now fails it loudly. ELIGIBILITY RESEARCH AT RISK: this row existed because the programme page stated eligibility that the board rows do not -- that text is gone and needs re-verifying by hand. Coverage of the postings themselves is not lost: aqr-greenhouse carries 54 postings including 12+ '2027 ... Summer Analyst' roles."
aspect-careers,3,page_text,https://www.aspectcapital.com/careers/,Aspect Capital,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,medium,"Firm is on no public ATS. Verified 2026-09-11: 8,724 chars of text."
bam-internships,3,page_text,https://www.bamfunds.com/careers/internships,Balyasny (BAM),,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,high,"Verified 2026-09-11: 3,394 chars. Programme page only: BAM's Salesforce ATS is a 60-character shell, so individual reqs are not reachable."
bluefin-careers,3,page_text,https://www.bfcm.com/careers/,Bluefin Companies,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Verified 2026-09-11: 740 chars, close to the 500 floor. Renamed from Bluefin Trading; applications by email."
blueshift-careers,3,page_text,https://www.blueshift.am/,Blueshift Asset Management,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Verified 2026-09-11: 5,636 chars. Quantitative Analyst (MS/PhD) only. Note blueshift.com is marketing SaaS."
brevanhoward-students,3,page_text,https://www.brevanhoward.com/students/,Brevan Howard students,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,medium,"Firm is on no public ATS. Verified 2026-09-11: 2,375 chars of text."
bridgewater-students,3,page_text,https://www.bridgewater.com/working-at-bridgewater/students,Bridgewater students,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,medium,"Students page. bridgewater.com/careers yields less (2,326). Verified 2026-09-11: 4,624 chars."
capula-workable,3,page_text,https://apply.workable.com/api/v1/widget/accounts/capula-investment-management-ltd,Capula Investment Management,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,high,"Verified 2026-09-11: Workable JSON widget, 8,015 chars, ratio 0.997. Carries '2027 Trading and Research Summer Internship' and 'Technology Graduate Analyst'. Read as page_text because the tracker has no Workable parser; the feed is deterministic so a text diff is stable."
cboe-careers,3,page_text,https://careers.cboe.com/us/en,Cboe Global Markets,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,medium,"Firm is on no public ATS. Verified 2026-09-11: 4,717 chars of text."
deshaw-careers,3,page_text,https://www.deshaw.com/careers,D. E. Shaw,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,high,"Firm is on no public ATS. Verified 2026-09-11: 36,840 chars of text. deshaw.com/careers/students renders nothing (0 chars); /careers is the readable one."
eagleseven-careers,3,page_text,https://www.eagleseven.com/,Eagle Seven,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Verified 2026-09-11: 15,784 chars. 'Junior Trader' is the most junior role today. CORRECTED 2026-09-12: the 'no public ATS' claim above is false -- eagleseven-workable watches the real board, found by a domain-anchored fingerprint probe. This page_text row is kept because the page may still carry programme detail the board rows do not state; retire it if it proves redundant."
eclipse-careers,3,page_text,https://www.eclipsetrading.com/careers/,Eclipse Trading,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,low,"Firm is on no public ATS. Verified 2026-09-11: 2,270 chars of text. CORRECTED 2026-09-12: the 'no public ATS' claim above is false -- eclipse-greenhouse watches the real board, found by a domain-anchored fingerprint probe. This page_text row is kept because the page may still carry programme detail the board rows do not state; retire it if it proves redundant."
edgehog-rippling,3,page_text,https://api.rippling.com/platform/api/ats/v1/board/edgehog-trading/jobs,Edgehog Trading,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,medium,"Verified 2026-09-11: Rippling ATS JSON, 14 jobs, 3,171 chars, ratio 0.79. Graduate Quant Trader, Graduate SWE, Junior FPGA Developer."
eschaton-careers,3,page_text,https://www.eschatontrading.com/careers,Eschaton Trading,,false,2026-09-21T14:00:58+00:00,0,2026-09-21T14:00:58+00:00,medium,"Firm is on no public ATS. Verified 2026-09-11: 2,184 chars of text."
