rank,band,name,category,value,probability,watch_window,will_this_tool_alert_you,why,url
18,"B - Stanford-internal, best odds",Stanford SymSys Summer Internships,Stanford-only,Medium,High,Priority Feb 18,No - needs phase 3 page watching,"Stanford-only pool. The SymSys page is plain HTML, so phase 3 will cover it well; until then check it in February.",https://symsys.stanford.edu/
19,"B - Stanford-internal, best odds",Traders @ Stanford / Quant Gym,Stanford-only,Medium-high,Very high,Fall - join in week 1,No - announced by email/social,"Not an application, and it is the gateway to several competitions that only accept university-sponsored teams. It is also where you will hear about Cornell CTC and UChicago UTC before any website says anything.",
20,"C - open entry, participation is the only gate",Jane Street Puzzles (monthly),Quant firm program,Medium,Certain,"Always open, monthly",Yes - named in tracked repos today,"No gate at all. A submitted solution is a real touchpoint with the firm you most want, every single month, for the price of an evening.",https://www.janestreet.com/puzzles/
21,"C - open entry, participation is the only gate",Kaggle Competitions,Competition,High,Certain,Rolling - never urgent,No - needs Kaggle API credentials,"Open entry, no class-year or identity gate. A leaderboard placing is portable, verifiable evidence - and the Optiver and Jane Street sponsored competitions read as quant credentials specifically. Your sheet already flags these as a legitimate substitute if ETC never materialises.",https://www.kaggle.com/competitions
22,"C - open entry, participation is the only gate",IMC Prosperity Trading Competition,Quant firm program,High,Certain,Tutorial ~mid-March,No - needs phase 3 page watching,"Open to anyone 18+ and enrolled. Algorithmic trading against thousands of teams - high signal, zero admission risk. Appears in no tracked repo, so diarise mid-March yourself.",https://prosperity.imc.com/
23,"C - open entry, participation is the only gate","Intercollegiate trading competitions (Cornell CTC, UChicago UTC, MIT, Berkeley, Yale, Duke, Georgetown)",Competition,High,High,Cornell early fall; UChicago November; others winter/spring,No - announced by email/social,"Team registration rather than individual selection, so getting in is mostly about hearing in time. That is exactly what this tool cannot do for you: announcements go out on Instagram and listservs first. Cornell CTC in early fall is the most time-critical item on the whole sheet.",https://cornellquantfund.org/competition
24,"C - open entry, participation is the only gate",WorldQuant IQC / BRAIN,Quant firm program,Medium,Certain,Registration opens ~March,Yes - named in tracked repos today,"Open to any university student 18+. Low effort to enter, and BRAIN is usable year-round as a self-directed project.",https://www.worldquant.com/brain/iqc/
25,"C - open entry, participation is the only gate",QuantConnect Quant League,Competition,Medium,Certain,Every calendar quarter,No - needs phase 3 page watching,"Quarterly, so you get four attempts a year and missing one costs almost nothing. Good backtesting practice that produces something concrete to talk about.",https://www.quantconnect.com/league/
26,"C - open entry, participation is the only gate",Google Summer of Code,Tech internship,High,Medium,Orgs announced Feb; apply ~Mar 16-31,No - needs phase 3 page watching,"Paid, remote, and open to any 18+ student with limited prior involvement. Critically, the work starts BEFORE the application: pre-application contributions to the org are the strongest predictor of selection, so start contributing in January, not March.",https://summerofcode.withgoogle.com/
27,"C - open entry, participation is the only gate",UChicago Math REU - Apprentice Program,Research / math,High,Medium,Deadline ~Feb 6,No - needs phase 3 page watching,"The Apprentice track is explicitly for freshmen and sophomores, which is rare among REUs - most will not consider a first-year at all. Note the year is in the URL path, so watch for a 2027 page appearing.",https://math.uchicago.edu/~may/REU2026/
28,"C - open entry, participation is the only gate",Polymath Jr REU,Research / math,Medium,High,Deadline ~Apr 1,No - needs phase 3 page watching,"Large, online, and takes any undergrad with the background - one of the few math research programs where a first-year is a normal applicant rather than an exception.",https://geometrynyc.wixsite.com/polymathreu
29,"C - open entry, participation is the only gate",MLH Fellowship,Tech internship,Medium,Medium,Rolling; fall batch closes early,Yes - named in tracked repos today,"Any student, rolling batches. Structured open-source work with a stipend, and a reasonable fallback if the freshman internship programs do not land.",https://fellowship.mlh.io/
30,"C - open entry, participation is the only gate","Always-open self-serve credentials (AQR Quanta Academy, Akuna University, JPM Quantitative Research Virtual Experience)",Quant firm program,Low-medium,Certain,Always open,N/A - never closes,"No deadline, no selection, no rejection. Worth doing once each in a quiet week purely so the firm's name appears on your resume with something real behind it. Do not spend fall on these at the expense of rank 1-12.",https://careers.aqr.com/
