name,category,url,coverage,why_manual,how_to_check,when_to_check
Kaggle Competitions (all active),Competition,https://www.kaggle.com/competitions,Planned - phase 2,Verified 2026-09-05: the listing page is a JS shell (39 characters of text) and the official API returns 401 without credentials. Automatable once you add free KAGGLE_USERNAME and KAGGLE_KEY repo secrets.,Browse kaggle.com/competitions when you want a project.,"Rolling - there is always something open, so this is never urgent."
Stanford SOLO / VPUE newsletters,Stanford-only,https://solo.stanford.edu/,Never - announced off-web,"The highest-value Stanford-internal opportunities are announced by email to enrolled students, not published on a diffable page.",Subscribe to the SOLO digest and the VPUE undergraduate research newsletter.,"Weekly, in your inbox."
Bloomberg Global Trading Challenge,Competition,https://portal.bloombergforeducation.com/trading_challenges,Never - blocked,"Probed 2026-09-06: robots.txt explicitly DISALLOWS this path, and the page yields 23 characters of text. Respecting robots.txt means this cannot be polled.",Open the Bloomberg for Education portal in your browser.,Check each quarter; 2026 dates were still TBA.
CME Group University Trading Challenge,Competition,https://www.cmegroup.com/events/university-trading-challenge.html,Never - blocked,"Probed 2026-09-06: the connection failed for an automated client (no HTTP status returned), which usually indicates bot filtering.",Open cmegroup.com in your browser.,Check in early fall.
Hull Tactical Market Prediction (Kaggle),Competition,https://www.kaggle.com/competitions/hull-tactical-market-prediction,Planned - phase 2,Probed 2026-09-06: 42 characters of text - Kaggle pages are JS shells. Automatable via the official Kaggle API once KAGGLE_USERNAME/KAGGLE_KEY secrets exist.,Browse kaggle.com/competitions.,Rolling - never urgent.
MITSUI & Co. Commodity Prediction Challenge (Kaggle),Competition,https://www.kaggle.com/competitions/mitsui-commodity-prediction-challenge,Planned - phase 2,Kaggle listing pages are JS shells; use the official Kaggle API.,Browse kaggle.com/competitions.,Rolling.
CFA Institute Research Challenge,Competition,https://www.cfainstitute.org/insights/events/research-challenge,Never - announced off-web,"Entry is via a university-sponsored team, so the binding information arrives through a Stanford club or department, not the CFA Institute page.",Ask Stanford Finance / Traders @ Stanford whether a team is forming.,Early fall.
IICPC Codefest 2026,Competition,https://codefest.iicpc.com/,Never - nothing to diff,Probed 2026-09-06: 83 characters of visible text. There is nothing to diff even with a browser.,Open codefest.iicpc.com directly.,Check once in spring.
Quantiacs Crypto Contest,Competition,https://quantiacs.com/,Never - nothing to diff,Probed 2026-09-06: 94 characters of visible text; the site is client-rendered.,Open quantiacs.com and check the current contest.,Each quarter.
G-Research Spring into Quant Finance 2026,Quant firm program,https://www.gresearch.com/events/spring-into-quant-finance-2026,Planned - phase 3,"Not probed during ingest. Likely UK-based, which would rule it out on geography.",Open the G-Research events page.,Early spring.
Bloomberg First Year Insights,Tech internship,https://www.bloomberg.com/company/careers/,Never - blocks automation,403 to the honest User-Agent on every bloomberg.com/company path.,Open Bloomberg's students page in your browser.,"Monthly, Sep-Feb"
Wells Fargo Sophomore Experience,Tech internship,https://talent.wellsfargojobs.com/flows/sdfp2026,Never - blocks automation,403 to the honest User-Agent.,Open Wells Fargo's undergraduate programmes page in your browser.,"Monthly, next academic year"
Goldman Sachs Possibilities Summits,Conference / other,https://higher.gs.com/campus,Planned - phase 3,JavaScript shell with no found API.,Open higher.gs.com/campus in your browser.,"Monthly, Sep-Feb"
